"","aicha","Network_7","total_nb_voxel","aicha_surfice","hemisphere","Network_7_nb"
"1",1,"Default",136,1,"LH",7
"2",2,"Default",25,1,"RH",7
"3",3,"Default",998,2,"LH",7
"4",4,"Default",979,2,"RH",7
"5",5,"Cont",56,3,"LH",6
"6",6,"Cont",71,3,"RH",6
"7",7,"Limbic",124,4,"LH",5
"8",8,"Cont",280,4,"RH",6
"9",9,"Cont",446,5,"LH",6
"10",10,"Cont",461,5,"RH",6
"11",11,"Default",323,6,"LH",7
"12",12,"Cont",278,6,"RH",6
"13",13,"Default",793,7,"LH",7
"14",14,"Default",353,7,"RH",7
"15",15,"Default",318,8,"LH",7
"16",16,"Cont",468,8,"RH",6
"17",17,"DorsAttn",318,9,"LH",3
"18",18,"DorsAttn",243,9,"RH",3
"19",19,"Cont",221,10,"LH",6
"20",20,"Cont",474,10,"RH",6
"21",21,"SalVentAttn",416,11,"LH",4
"22",22,"SalVentAttn",332,11,"RH",4
"23",23,"Cont",127,12,"LH",6
"24",24,"Cont",241,12,"RH",6
"25",25,"Default",378,13,"LH",7
"26",26,"Cont",353,13,"RH",6
"27",27,"Cont",124,14,"LH",6
"28",28,"Cont",426,14,"RH",6
"29",29,"Cont",578,15,"LH",6
"30",30,"Cont",243,15,"RH",6
"31",31,"Cont",845,16,"LH",6
"32",32,"Cont",939,16,"RH",6
"33",33,"Default",737,17,"LH",7
"34",34,"Default",349,17,"RH",7
"35",35,"Limbic",374,18,"LH",5
"36",36,"Limbic",346,18,"RH",5
"37",37,"Default",56,19,"LH",7
"38",38,"Cont",175,19,"RH",6
"39",39,"Cont",419,20,"LH",6
"40",40,"Cont",326,20,"RH",6
"41",41,"Default",154,21,"LH",7
"42",42,"Default",216,21,"RH",7
"43",43,"Limbic",414,22,"LH",5
"44",44,"Limbic",367,22,"RH",5
"45",45,"Cont",165,23,"LH",6
"46",46,"Cont",207,23,"RH",6
"47",47,"Default",99,24,"LH",7
"48",48,"Default",87,24,"RH",7
"49",49,"Limbic",376,25,"LH",5
"50",50,"Limbic",396,25,"RH",5
"51",51,"DorsAttn",129,26,"LH",3
"52",52,"SalVentAttn",180,26,"RH",4
"53",53,"SomMot",143,27,"LH",2
"54",54,"DorsAttn",160,27,"RH",3
"55",55,"SomMot",54,28,"LH",2
"56",56,"SalVentAttn",25,28,"RH",4
"57",57,"Default",334,29,"LH",7
"58",58,"SalVentAttn",177,29,"RH",4
"59",59,"DorsAttn",53,30,"LH",3
"60",60,"SalVentAttn",57,30,"RH",4
"61",61,"SomMot",128,31,"LH",2
"62",62,"SomMot",113,31,"RH",2
"63",63,"SomMot",1028,32,"LH",2
"64",64,"SomMot",908,32,"RH",2
"65",65,"SomMot",345,33,"LH",2
"66",66,"SomMot",245,33,"RH",2
"67",67,"SomMot",883,34,"LH",2
"68",68,"SomMot",871,34,"RH",2
"69",69,"SomMot",869,35,"LH",2
"70",70,"SomMot",565,35,"RH",2
"71",71,"SomMot",92,36,"LH",2
"72",72,"SomMot",168,36,"RH",2
"73",73,"SomMot",439,37,"LH",2
"74",74,"SomMot",515,37,"RH",2
"75",75,"DorsAttn",419,38,"LH",3
"76",76,"DorsAttn",121,38,"RH",3
"77",77,"SomMot",33,39,"LH",2
"78",78,"DorsAttn",48,39,"RH",3
"79",79,"SomMot",144,40,"LH",2
"80",80,"SomMot",175,40,"RH",2
"81",81,"DorsAttn",219,41,"LH",3
"82",82,"DorsAttn",110,41,"RH",3
"83",83,"DorsAttn",101,42,"LH",3
"84",84,"DorsAttn",207,42,"RH",3
"85",85,"DorsAttn",387,43,"LH",3
"86",86,"DorsAttn",247,43,"RH",3
"87",87,"SalVentAttn",165,44,"LH",4
"88",88,"SalVentAttn",201,44,"RH",4
"89",89,"SalVentAttn",220,45,"LH",4
"90",90,"SalVentAttn",296,45,"RH",4
"91",91,"DorsAttn",188,46,"LH",3
"92",92,"SalVentAttn",119,46,"RH",4
"93",93,"SalVentAttn",223,47,"LH",4
"94",94,"SalVentAttn",185,47,"RH",4
"95",95,"SalVentAttn",75,48,"LH",4
"96",96,"SalVentAttn",143,48,"RH",4
"97",97,"Cont",89,49,"LH",6
"98",98,"Cont",109,49,"RH",6
"99",99,"Default",218,50,"LH",7
"100",100,"Cont",60,50,"RH",6
"101",101,"Default",402,51,"LH",7
"102",102,"Default",274,51,"RH",7
"103",103,"Default",312,52,"LH",7
"104",104,"Default",384,52,"RH",7
"105",105,"Default",206,53,"LH",7
"106",106,"Default",209,53,"RH",7
"107",107,"Cont",179,54,"LH",6
"108",108,"Cont",341,54,"RH",6
"109",109,"DorsAttn",361,55,"LH",3
"110",110,"DorsAttn",569,55,"RH",3
"111",111,"Cont",510,56,"LH",6
