Hemisphere,Region_Number,Region,Network_7,Red,Green,Blue,Alpha
LH,116,PrCd_1,DorsAttn,0,118,14,0
LH,117,PrCd_2,DorsAttn,0,118,14,0
LH,118,PrCv_1,DorsAttn,0,118,14,0
LH,119,PrCv_2,DorsAttn,0,118,14,0
LH,120,PrCv_3,DorsAttn,0,118,14,0
LH,121,SPL_1,DorsAttn,0,118,14,0
LH,122,SPL_2,DorsAttn,0,118,14,0
LH,123,SPL_3,DorsAttn,0,118,14,0
LH,124,SPL_4,DorsAttn,0,118,14,0
LH,125,SPL_5,DorsAttn,0,118,14,0
LH,126,SPL_6,DorsAttn,0,118,14,0
LH,127,SPL_7,DorsAttn,0,118,14,0
LH,128,TempOcc_1,DorsAttn,0,118,14,0
LH,129,TempOcc_2,DorsAttn,0,118,14,0
LH,130,TempOcc_3,DorsAttn,0,118,14,0
LH,131,TempOcc_4,DorsAttn,0,118,14,0
LH,132,TempOcc_5,DorsAttn,0,118,14,0
LH,133,TempOcc_6,DorsAttn,0,118,14,0
LH,134,TempOcc_7,DorsAttn,0,118,14,0
LH,135,1,SomMot,70,130,180,0
LH,136,10,SomMot,70,130,180,0
LH,137,11,SomMot,70,130,180,0
LH,138,12,SomMot,70,130,180,0
LH,139,13,SomMot,70,130,180,0
LH,140,14,SomMot,70,130,180,0
LH,141,15,SomMot,70,130,180,0
LH,142,16,SomMot,70,130,180,0
LH,143,17,SomMot,70,130,180,0
LH,144,18,SomMot,70,130,180,0
LH,145,19,SomMot,70,130,180,0
LH,146,2,SomMot,70,130,180,0
LH,147,20,SomMot,70,130,180,0
LH,148,21,SomMot,70,130,180,0
LH,149,22,SomMot,70,130,180,0
LH,150,23,SomMot,70,130,180,0
LH,151,24,SomMot,70,130,180,0
LH,152,25,SomMot,70,130,180,0
LH,153,26,SomMot,70,130,180,0
LH,154,27,SomMot,70,130,180,0
LH,155,28,SomMot,70,130,180,0
LH,156,3,SomMot,70,130,180,0
LH,157,4,SomMot,70,130,180,0
LH,158,5,SomMot,70,130,180,0
LH,159,6,SomMot,70,130,180,0
LH,160,7,SomMot,70,130,180,0
LH,161,8,SomMot,70,130,180,0
LH,162,9,SomMot,70,130,180,0
LH,163,Ins_1,SomMot,70,130,180,0
LH,164,Ins_2,SomMot,70,130,180,0
LH,165,Ins_3,SomMot,70,130,180,0
LH,166,ParOper_1,SomMot,70,130,180,0
LH,167,ParOper_2,SomMot,70,130,180,0
LH,168,ParOper_3,SomMot,70,130,180,0
LH,169,ParOper_4,SomMot,70,130,180,0
LH,170,ST_1,SomMot,70,130,180,0
LH,171,ST_2,SomMot,70,130,180,0
LH,172,ST_3,SomMot,70,130,180,0
LH,173,ST_4,SomMot,70,130,180,0
LH,174,ST_5,SomMot,70,130,180,0
LH,175,ExStrInf_1,Vis,120,18,134,0
LH,176,ExStrInf_2,Vis,120,18,134,0
LH,177,ExStrInf_3,Vis,120,18,134,0
LH,178,ExStrSup_1,Vis,120,18,134,0
LH,179,ExStrSup_2,Vis,120,18,134,0
LH,180,ExStrSup_3,Vis,120,18,134,0
LH,181,ExStrSup_4,Vis,120,18,134,0
LH,182,ExStr_1,Vis,120,18,134,0
LH,183,ExStr_10,Vis,120,18,134,0
LH,184,ExStr_11,Vis,120,18,134,0
LH,185,ExStr_12,Vis,120,18,134,0
LH,186,ExStr_13,Vis,120,18,134,0
LH,187,ExStr_14,Vis,120,18,134,0
LH,188,ExStr_2,Vis,120,18,134,0
LH,189,ExStr_3,Vis,120,18,134,0
LH,190,ExStr_4,Vis,120,18,134,0
LH,191,ExStr_5,Vis,120,18,134,0
LH,192,ExStr_6,Vis,120,18,134,0
LH,193,ExStr_7,Vis,120,18,134,0
LH,194,ExStr_8,Vis,120,18,134,0
LH,195,ExStr_9,Vis,120,18,134,0
LH,196,PHC_1,Vis,120,18,134,0
LH,197,PHC_2,Vis,120,18,134,0
LH,198,Striate_1,Vis,120,18,134,0
LH,199,Striate_2,Vis,120,18,134,0
LH,200,Striate_3,Vis,120,18,134,0
RH,201,FPole_1,Default,205,62,78,0
RH,202,FPole_2,Cont,230,148,34,0
RH,203,IPL_1,Default,205,62,78,0
RH,204,IPL_2,Default,205,62,78,0
RH,205,IPL_3,Default,205,62,78,0
RH,206,IPL_4,Default,205,62,78,0
RH,207,IPL_2,Cont,230,148,34,0
RH,208,IPL_5,SalVentAttn,196,58,250,0
RH,209,PCC_1,Default,205,62,78,0
RH,210,PCC_2,Default,205,62,78,0
RH,211,PCC_3,Default,205,62,78,0
RH,212,PCC,SalVentAttn,196,58,250,0
RH,213,PFCd_1,Default,205,62,78,0
RH,214,PFCd_2,Cont,230,148,34,0
RH,215,PFCd_2,Default,205,62,78,0
RH,216,PFCd_3,Default,205,62,78,0
RH,217,PFCd_4,Default,205,62,78,0
RH,218,PFCd_5,Default,205,62,78,0
RH,219,PFCd_6,Default,205,62,78,0
RH,220,PFCd_7,Default,205,62,78,0
RH,221,PFCd_8,Default,205,62,78,0
RH,222,PFCd,SalVentAttn,196,58,250,0
RH,223,PFCl_11,Cont,230,148,34,0
RH,224,PFCl_10,Cont,230,148,34,0
RH,225,PFCm_1,Default,205,62,78,0
RH,226,PFCm_2,Default,205,62,78,0
RH,227,PFCm_3,Default,205,62,78,0
RH,228,PFCm_4,Default,205,62,78,0
RH,229,PFCm,Cont,230,148,34,0
RH,230,PFCv_1,Default,205,62,78,0
RH,231,PFCv_2,Default,205,62,78,0
RH,232,PFCv_3,Default,205,62,78,0
RH,233,PFCv_4,Default,205,62,78,0
RH,234,PFCv_2,Cont,230,148,34,0
RH,235,RSC,Default,205,62,78,0
RH,236,ST_6,SomMot,70,130,180,0
RH,237,Temp_1,Default,205,62,78,0
RH,238,Temp_2,Default,205,62,78,0
RH,239,Temp_3,Default,205,62,78,0
RH,240,Temp_4,Default,205,62,78,0
RH,241,Temp_5,Default,205,62,78,0
RH,242,Temp_6,Default,205,62,78,0
RH,243,Temp_7,Default,205,62,78,0
RH,244,Temp_1,Cont,230,148,34,0
RH,245,Temp_2,Cont,230,148,34,0
RH,246,pCun_1,Default,205,62,78,0
RH,247,pCun_2,Default,205,62,78,0
RH,248,pCun_2,Cont,230,148,34,0
RH,249,Cingm,Cont,230,148,34,0
