Hemisphere,Region_Number,Region,Network_7,Red,Green,Blue,Alpha
LH,1,FPole_1,Default,205,62,78,0
LH,2,FPole_2,Default,205,62,78,0
LH,3,FPole_3,Default,205,62,78,0
LH,4,FPole_4,Default,205,62,78,0
LH,5,FrMed_1,Default,205,62,78,0
LH,6,FrMed_2,Default,205,62,78,0
LH,7,IPL_1,Default,205,62,78,0
LH,8,IPL_10,Default,205,62,78,0
LH,9,IPL_11,Default,205,62,78,0
LH,10,IPL_12,Default,205,62,78,0
LH,11,IPL_13,Default,205,62,78,0
LH,12,IPL_14,Default,205,62,78,0
LH,13,IPL_15,Default,205,62,78,0
LH,14,IPL_16,Default,205,62,78,0
LH,15,IPL_17,Default,205,62,78,0
LH,16,IPL_2,Default,205,62,78,0
LH,17,IPL_3,Default,205,62,78,0
LH,18,IPL_4,Default,205,62,78,0
LH,19,IPL_5,Default,205,62,78,0
LH,20,IPL_6,Default,205,62,78,0
LH,21,IPL_7,Default,205,62,78,0
LH,22,IPL_8,Default,205,62,78,0
LH,23,IPL_9,Default,205,62,78,0
LH,24,Ins,Default,205,62,78,0
LH,25,OFC,Default,205,62,78,0
LH,26,PCC_1,Default,205,62,78,0
LH,27,PCC_2,Default,205,62,78,0
LH,28,PCC_3,Default,205,62,78,0
LH,29,PCC_4,Default,205,62,78,0
LH,30,PCC_5,Default,205,62,78,0
LH,31,PCC_6,Default,205,62,78,0
LH,32,PCC_7,Default,205,62,78,0
LH,33,PCC_8,Default,205,62,78,0
LH,34,PFCd_1,Default,205,62,78,0
LH,35,PFCd_10,Default,205,62,78,0
LH,36,PFCd_11,Default,205,62,78,0
LH,37,PFCd_12,Default,205,62,78,0
LH,38,PFCd_13,Default,205,62,78,0
LH,39,PFCd_14,Default,205,62,78,0
LH,40,PFCd_15,Default,205,62,78,0
LH,41,PFCd_16,Default,205,62,78,0
LH,42,PFCd_17,Default,205,62,78,0
LH,43,PFCd_18,Default,205,62,78,0
LH,44,PFCd_19,Default,205,62,78,0
LH,45,PFCd_2,Default,205,62,78,0
LH,46,PFCd_20,Default,205,62,78,0
LH,47,PFCd_3,Default,205,62,78,0
LH,48,PFCd_4,Default,205,62,78,0
LH,49,PFCd_5,Default,205,62,78,0
LH,50,PFCd_6,Default,205,62,78,0
LH,51,PFCd_7,Default,205,62,78,0
LH,52,PFCd_8,Default,205,62,78,0
LH,53,PFCd_9,Default,205,62,78,0
LH,54,PFCl_1,Default,205,62,78,0
LH,55,PFCl_2,Default,205,62,78,0
LH,56,PFCl_3,Default,205,62,78,0
LH,57,PFCl_4,Default,205,62,78,0
LH,58,PFCl_5,Default,205,62,78,0
LH,59,PFCm_1,Default,205,62,78,0
LH,60,PFCm_10,Default,205,62,78,0
LH,61,PFCm_11,Default,205,62,78,0
LH,62,PFCm_12,Default,205,62,78,0
LH,63,PFCm_13,Default,205,62,78,0
LH,64,PFCm_14,Default,205,62,78,0
LH,65,PFCm_2,Default,205,62,78,0
LH,66,PFCm_3,Default,205,62,78,0
LH,67,PFCm_4,Default,205,62,78,0
LH,68,PFCm_5,Default,205,62,78,0
LH,69,PFCm_6,Default,205,62,78,0
LH,70,PFCm_7,Default,205,62,78,0
LH,71,PFCm_8,Default,205,62,78,0
LH,72,PFCm_9,Default,205,62,78,0
LH,73,PFCv_1,Default,205,62,78,0
LH,74,PFCv_10,Default,205,62,78,0
LH,75,PFCv_11,Default,205,62,78,0
LH,76,PFCv_2,Default,205,62,78,0
LH,77,PFCv_3,Default,205,62,78,0
LH,78,PFCv_4,Default,205,62,78,0
LH,79,PFCv_5,Default,205,62,78,0
LH,80,PFCv_6,Default,205,62,78,0
LH,81,PFCv_7,Default,205,62,78,0
LH,82,PFCv_8,Default,205,62,78,0
LH,83,PFCv_9,Default,205,62,78,0
LH,84,PHC_1,Default,205,62,78,0
