hROI-Side,hROI,Hemisphere,Abbreviation,AICHA_number,Rest_Network,xmm,ymm,zmm,vol_mm3,5_Network
G_Occipital_Lat-2-R,G_Occipital_Lat-2,R,Olat2,122,Visu,28.1,-89.1,-2.1,5392,1
G_Occipital_Lat-4-R,G_Occipital_Lat-4,R,Olat4,126,Visu,33.6,-85.4,8.8,3776,1
G_Occipital_Lat-5-R,G_Occipital_Lat-5,R,Olat5,128,Visu,35.6,-75.6,1.6,8120,1
G_Occipital_Mid-1-R,G_Occipital_Mid-1,R,O2_1,134,Post-Med,36.2,-74.5,25.3,4128,3
G_Occipital_Mid-2-R,G_Occipital_Mid-2,R,O2_2,136,Visu,41.1,-72.9,12.2,3008,1
G_Occipital_Mid-3-R,G_Occipital_Mid-3,R,O2_3,138,Temporo-Frontal,45.1,-63.1,15.1,1272,2
G_Occipital_Mid-4-R,G_Occipital_Mid-4,R,O2_4,140,Post-Med,40.9,-73.9,29.6,3984,3
G_ParaHippocampal-2-R,G_ParaHippocampal-2,R,pHIPP2,324,Post-Med,28.6,-24.7,-18.6,2408,3
G_ParaHippocampal-4-R,G_ParaHippocampal-4,R,pHIPP4,328,Post-Med,16.7,-27.4,-10.0,2568,3
G_ParaHippocampal-5-R,G_ParaHippocampal-5,R,pHIPP5,330,Post-Med,27.2,-36.0,-11.9,2728,3
G_Parietal_Inf-1-R,G_Parietal_Inf-1,R,P2,108,Parieto-Frontal,42.7,-53.1,47.6,3280,4
G_Precuneus-1-R,G_Precuneus-1,R,PRECU1,266,Post-Med,12.8,-52.8,13.8,3536,3
G_Precuneus-7-R,G_Precuneus-7,R,PRECU7,278,Post-Med,7.2,-62.6,36.0,1208,3
G_Precuneus-8-R,G_Precuneus-8,R,PRECU8,280,Post-Med,10.5,-68.5,41.1,3048,3
G_Precuneus-9-R,G_Precuneus-9,R,PRECU9,282,Post-Med,12.7,-68.4,50.3,2480,3
G_Supp_Motor_Area-1-R,G_Supp_Motor_Area-1,R,SMA1,222,Parieto-Frontal,5.9,20.5,49.0,1376,4
G_Supp_Motor_Area-2-R,G_Supp_Motor_Area-2,R,SMA2,224,Temporo-Frontal,10.5,18.5,62.9,1744,2
G_Supp_Motor_Area-3-R,G_Supp_Motor_Area-3,R,SMA3,226,Temporo-Frontal,6.4,10.1,66.5,2200,2
G_SupraMarginal-6-R,G_SupraMarginal-6,R,SMG6,98,Parieto-Frontal,53.8,-38.2,44.0,1064,4
G_Temporal_Inf-3-R,G_Temporal_Inf-3,R,T3_3,192,Post-Med,57.4,-46.3,-13.9,4776,3
G_Temporal_Inf-4-R,G_Temporal_Inf-4,R,T3_4,194,Post-Med,54.1,-57.9,-10.5,1808,3
G_Temporal_Inf-5-R,G_Temporal_Inf-5,R,T3_5,196,Temporo-Frontal,49.2,-58.3,3.8,1104,2
G_Temporal_Mid-3-R,G_Temporal_Mid-3,R,T2_3,184,Temporo-Frontal,62.3,-30.9,-4.7,1928,2
G_Temporal_Mid-4-R,G_Temporal_Mid-4,R,T2_4,186,Temporo-Frontal,56.8,-53.2,3.0,2152,2
G_Temporal_Pole_Mid-3-R,G_Temporal_Pole_Mid-3,R,poleT2_3,206,Post-Med,26.4,6.5,-35.9,7944,3
S_Cingulate-1-R,S_Cingulate-1,R,cing1,228,Temporo-Frontal,7.0,26.6,31.0,2296,2
S_Cingulate-2-R,S_Cingulate-2,R,cing2,230,Temporo-Frontal,7.6,13.5,47.3,2912,2
S_Inf_Frontal-1-R,S_Inf_Frontal-1,R,f2_1,30,Parieto-Frontal,46.4,39.6,9.9,2248,4
S_Inf_Frontal-2-R,S_Inf_Frontal-2,R,f2_2,32,Parieto-Frontal,43.9,18.5,28.4,9104,4
